DateTime,Hour,Session ID,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Source_File,Start_Time
2023-05-28 15:45:00,16,32,15:45-16:00,6154.20,6935.00,3997.52,3997.51,4499.33,May%202023.xlsx,15:45
2023-05-29 00:15:00,1,1,00:15-00:30,6159.50,5818.00,4050.00,4050.0,4000.88,May%202023.xlsx,00:15
2023-05-19 03:00:00,4,7,03:00-03:15,6167.20,3983.50,3521.40,3521.4,8999.9,May%202023.xlsx,03:00
2023-05-30 13:45:00,14,28,13:45-14:00,6168.00,7473.30,4480.44,4480.44,4001.42,May%202023.xlsx,13:45
2023-05-28 03:45:00,4,8,03:45-04:00,6169.20,4917.40,3702.60,3702.6,6600.92,May%202023.xlsx,03:45
2023-05-26 23:00:00,24,47,23:00-23:15,6172.80,4648.40,3776.50,3579.9,5999.54,May%202023.xlsx,23:00
2023-05-17 04:30:00,5,10,04:30-04:45,6174.40,4732.20,3560.20,3560.2,7246.36,May%202023.xlsx,04:30
2023-05-29 04:45:00,5,10,04:45-05:00,6177.90,7383.10,5215.70,5215.7,2623.6,May%202023.xlsx,04:45
2023-05-29 05:15:00,6,11,05:15-05:30,6181.00,7003.70,5088.50,5088.5,2750.98,May%202023.xlsx,05:15
2023-05-31 21:00:00,22,43,21:00-21:15,6185.10,4126.50,3838.73,3838.73,7002.44,May%202023.xlsx,21:00
2023-05-05 18:45:00,19,38,18:45-19:00,6200.30,4249.30,3864.50,3864.5,7000.1,May%202023.xlsx,18:45
2023-05-26 23:15:00,24,47,23:15-23:30,6202.50,4709.40,3887.21,3692.32,6201.0,May%202023.xlsx,23:15
2023-05-20 01:00:00,2,3,01:00-01:15,6207.70,3804.70,3664.00,3664.0,8999.36,May%202023.xlsx,01:00
2023-05-29 17:30:00,18,36,17:30-17:45,6209.00,7092.60,4393.00,4222.84,5178.76,May%202023.xlsx,17:30
2023-05-09 17:00:00,18,35,17:00-17:15,6209.90,4730.80,3924.72,3924.72,6141.6,May%202023.xlsx,17:00
2023-05-03 19:15:00,20,39,19:15-19:30,6215.50,3329.90,3321.77,3321.77,9000.01,May%202023.xlsx,19:15
2023-05-09 15:00:00,16,31,15:00-15:15,6221.40,4750.60,3998.06,3998.06,5499.95,May%202023.xlsx,15:00
2023-05-23 02:15:00,3,5,02:15-02:30,6222.20,5948.20,3673.40,3673.4,9999.07,May%202023.xlsx,02:15
2023-05-24 16:45:00,17,34,16:45-17:00,6222.30,6415.20,3527.90,3527.9,4323.38,May%202023.xlsx,16:45
2023-05-22 15:45:00,16,32,15:45-16:00,6223.90,5760.80,3046.99,3046.99,6936.22,May%202023.xlsx,15:45
2023-05-10 20:45:00,21,42,20:45-21:00,6226.80,3826.70,3689.30,3689.3,8999.95,May%202023.xlsx,20:45
2023-05-06 20:15:00,21,41,20:15-20:30,6227.90,5179.90,4065.30,4065.31,6999.84,May%202023.xlsx,20:15
2023-05-18 10:15:00,11,21,10:15-10:30,6228.80,7498.50,4358.55,4358.55,4149.66,May%202023.xlsx,10:15
2023-05-31 21:15:00,22,43,21:15-21:30,6231.00,4007.60,3719.84,3719.84,7003.09,May%202023.xlsx,21:15
2023-05-17 04:45:00,5,10,04:45-05:00,6232.00,4824.30,3604.70,3604.7,7246.19,May%202023.xlsx,04:45
2023-05-24 16:30:00,17,34,16:30-16:45,6234.80,6252.60,3554.78,3554.78,4486.85,May%202023.xlsx,16:30
2023-05-31 20:15:00,21,41,20:15-20:30,6238.40,4839.30,4250.30,4250.31,5999.86,May%202023.xlsx,20:15
2023-05-29 05:45:00,6,12,05:45-06:00,6238.50,6548.00,4719.50,4719.5,3000.61,May%202023.xlsx,05:45
2023-05-29 14:15:00,15,29,14:15-14:30,6248.60,7532.40,4225.00,4225.0,4326.48,May%202023.xlsx,14:15
2023-05-28 05:45:00,6,12,05:45-06:00,6249.50,5766.00,3948.70,3948.7,5500.44,May%202023.xlsx,05:45
